OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
MARNE LA VALLEE CHESSY-ST BRIEUC;20.0;84.0;122.0;
AGEN-PARIS AUSTERLITZ;25.0;108.0;140.0;
AEROPORT CDG 2 TGV ROISSY-ST JEAN DE LUZ CIBOURE;25.0;112.0;147.0;
HENDAYE-AEROPORT CDG 2 TGV ROISSY;25.0;112.0;147.0;
MARNE LA VALLEE CHESSY-LES ARCS DRAGUIGNAN;25.0;132.0;185.0;
NICE VILLE-PARIS NORD;25.0;132.0;185.0;
CLUSES  74-AEROPORT CDG 2 TGV ROISSY;25.0;119.0;163.0;
MACON LOCHE TGV-AEROPORT CDG 2 TGV ROISSY;20.0;83.0;120.0;
MONTBARD-MANTES LA JOLIE;15.0;57.0;78.0;
MONTBARD-PARIS BERCY;15.0;57.0;78.0;
MANTES LA J. TGV-VALENCE;;103.0;143.0;
PARIS NORD-ST OMER;15.0;64.0;79.0;
LYON ST EXUPERY-RENNES;25.0;108.0;143.0;
LYON ST EXUPERY-FUTUROSCOPE;25.0;96.0;135.0;
BASEL SBB-LYON PART DIEU;25.0;82.0;107.0;
MARNE LA VALLEE CHESSY-SAVERNE;;85.0;124.0;
BASEL SBB-ECOLE VALENTIN;;42.0;57.0;
CHAMBERY CHALLES LES EAUX-MASSY PALAISEAU;25.0;103.0;136.0;
BESANCON VIOTTE-CHAMBERY CHALLES LES EAUX;;63.0;72.0;
MOUTIERS SALINS BRIDES L BAINS-LAVAL-MOUTIERS SALINS BRIDES L BAINS;25.0;120.0;162.0;
MEUSE TGV-LILLE EUROPE-147322;20.0;84.0;121.0;
ST GERVAIS LES BAINS LE FAYET-SALLANCHES COMBLOUX MEGEVE;;2.8;5.3;
RANG DU FLIERS VERTON-ETAPLES LE TOUQUET;;3.9;7.0;
FACTURE BIGANOS-ARCACHON;;5.8;9.2;
AIX EN PROVENCE TGV-MARSEILLE BLANCARDE;;7.7;15.0;
VITRY-LE-FRANÇOIS-CHALONS EN CHAMPAGNE;;8.9;13.6;
NURIEUX-BOURG EN BRESSE;;9.3;13.7;
ANTIBES-MONACO MONTE CARLO;;10.0;14.6;
BESANCON VIOTTE-DOLE VILLE;;11.9;17.5;
LILLE EUROPE-BETHUNE;;13.6;20.0;
SAUMUR-ST PIERRE DES CORPS;;14.7;21.0;
CAGNES SUR MER-ST RAPHAEL VALESCURE;;14.8;29.0;
MELUN-SENS;;15.0;22.0;
RETHEL-SEDAN;;15.5;23.0;
VITRY-LE-FRANÇOIS-REIMS;;16.0;27.0;
RUFFEC CHARENTE-FUTUROSCOPE;;17.0;23.5;
CHATEAUROUX-LA SOUTERRAINE;;18.0;26.0;
ORTHEZ-MORCENX;;19.0;27.0;
RIVES-LYON ST EXUPERY;;20.0;41.0;
ANGERS ST LAUD-LE MANS;;21.0;30.0;
LES ARCS DRAGUIGNAN-VENTIMIGLIA STAZIONE  (IT);;24.0;36.0;
BOURG EN BRESSE-LE CREUSOT MONTCEAU MONTCHANIN;;24.0;37.0;
AIX LES BAINS LE REVARD-ST GERVAIS LES BAINS LE FAYET;;25.0;38.0;
VERSAILLES CHANTIERS-ROUEN RIVE DROITE;;25.5;38.0;
CHAMBERY CHALLES LES EAUX-LYON PERRACHE;;26.0;42.0;
DOLE VILLE-MONTBELIARD;;27.0;41.0;
CHAMBERY CHALLES LES EAUX-ST GERVAIS LES BAINS LE FAYET;;27.0;41.0;
CARCASSONNE-MONTPELLIER;;29.0;43.0;
ANGERS ST LAUD-LA ROCHE SUR YON;;29.0;43.0;
BRIVE LA GAILLARDE-LA SOUTERRAINE;;29.0;44.0;
CULMONT CHALINDREY-NANCY VILLE;;30.0;46.0;
ANGERS ST LAUD-LES SABLES D'OLONNE;;32.0;45.0;
AGEN-LIBOURNE;;33.0;47.0;
QUIMPERLE-RENNES;;36.0;51.0;
CHALONS EN CHAMPAGNE-THIONVILLE;;37.0;54.0;
POITIERS-LIBOURNE;;38.0;53.0;
LE HAVRE-VERSAILLES CHANTIERS;;38.0;54.0;
BREAUTE BEUZEVILLE-MASSY TGV;;38.0;54.0;
LA ROCHELLE VILLE-ST PIERRE DES CORPS;;42.0;61.0;
LES SABLES D'OLONNE-SABLE;;42.0;62.0;
METZ VILLE-IS SUR TILLE;;46.0;68.0;
STRASBOURG-MOUCHARD;;52.0;76.0;
RUFFEC CHARENTE-ST JEAN DE LUZ CIBOURE;;55.0;82.0;
MACON VILLE-BOURG ST MAURICE;15.0;50.0;74.0;
VERSAILLES CHANTIERS-LISON;20.0;52.0;86.0;
EVREUX EMBRANCHEMENT-MASSY PALAISEAU;;17.0;25.0;
VALENCE TGV-MONTELIMAR;;11.3;16.5;
VENDOME-PARIS MONTPARNASSE 1 ET 2;;39.0;76.0;
CHAMBERY CHALLES LES EAUX-NICE VILLE;25.0;102.0;152.0;
BORDEAUX ST JEAN-BEAUNE;25.0;105.0;160.0;
LYON PART DIEU-MANTES LA JOLIE;25.0;97.0;133.0;
MASSY TGV-LYON PERRACHE;25.0;97.0;133.0;
VERSAILLES CHANTIERS-LYON PERRACHE;25.0;97.0;133.0;
VENDOME VILLIERS SUR LOIR-la rochelle;;47.0;68.0;
CHERBOURG-MANTES LA JOLIE;15.0;60.0;72.0;
CAEN-MONTBARD;20.0;78.0;102.0;
COLMAR-MONTBELIARD;;21.0;31.0;
MONTELIMAR-NARBONNE;15.0;43.0;65.0;
BEZIERS-LE CREUSOT MONTCEAU MONTCHANIN;25.0;77.0;113.0;
STRASBOURG-DOUAI;25.0;132.0;152.0;
STRASBOURG-LE MANS;25.0;132.0;170.0;
THIONVILLE-BELFORT-MONTBELIARD TGV;20.0;58.0;82.0;
CULMONT CHALINDREY-toulon;25.0;100.0;137.0;
CULMONT CHALINDREY-Les Arcs Draguignan;25.0;105.0;145.0;
BOURG EN BRESSE-MASSY PALAISEAU;20.0;84.0;121.0;
MULHOUSE-PARIS EST;20.0;114.0;155.0;
MARNE LA VALLEE CHESSY-FUTUROSCOPE;20.0;75.0;107.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-TGV HAUTE PICARDIE;25.0;109.0;142.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AVIGNON TGV-ST PIERRE DES CORPS;25.0;125.0;167.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-POITIERS;20.0;75.0;107.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LYON PERRACHE-ST PIERRE DES CORPS;25.0;95.0;132.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARNE LA VALLEE CHESSY-ST MALO;20.0;85.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARNE LA VALLEE CHESSY-MORLAIX;20.0;91.0;127.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY-QUIMPER;20.0;95.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV - MARNE LA VALLEE CHESSY;;35.0;47.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PARIS MONTPARNASSE 1 ET 2 - FUTUROSCOPE;20.0;79.0;113.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
BORDEAUX ST JEAN - MARNE LA VALLEE CHESSY;25.0;111.0;166.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
DOUAI - REDON;25.0;113.0;144.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LORRAINE TGV - RENNES;25.0;132.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MONTPELLIER - ST PIERRE DES CORPS;25.0;125.0;168.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
DAX - PARIS MONTPARNASSE 1 ET 2;25.0;122.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - MASSY TGV;15.0;78.0;112.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - GUINGAMP;20.0;98.0;137.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - REDON;;30.0;44.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
FACTURE BIGANOS - ST PIERRE DES CORPS;20.0;69.0;98.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
CHATELLERAULT - TOULOUSE MATABIAU;;73.0;105.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LA TESTE - FUTUROSCOPE;;51.0;76.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
STRASBOURG - POITIERS;30.0;146.0;188.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARNE LA VALLEE CHESSY - QUIMPER;20.0;103.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - VANNES;25.0;121.0;160.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - ROSPORDEN;25.0;131.0;169.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
IRUN-LILLE FLANDRES;30.0;144.0;174.0;
HENDAYE-DOUAI;30.0;144.0;174.0;
IRUN-LILLE EUROPE;30.0;144.0;174.0;
AVIGNON-PERPIGNAN;15.0;48.0;62.0;
CHAMBERY CHALLES LES EAUX-PARIS GARE DE LYON;25.0;103.0;136.0;
LES AUBRAIS ORLEANS-MARNE LA VALLEE CHESSY;;44.0;55.0;
PARIS NORD-AIX LES BAINS LE REVARD;25.0;103.0;136.0;
DIJON VILLE-LILLE EUROPE;20.0;111.0;144.0;
LILLE EUROPE-BELFORT-MONTBELIARD TGV;20.0;129.0;166.0;
DIJON VILLE-AIX EN PROVENCE TGV;20.0;91.0;122.0;
BELFORT-MONTBELIARD TGV-VALENCE TGV;20.0;83.0;108.0;
BESANCON VIOTTE-VALENCE TGV;20.0;73.0;95.0;
BESANCON VIOTTE-LYON PART DIEU;15.0;51.0;68.0;
ANGOULEME-NANCY VILLE;25.0;119.0;156.0;
LE MANS-AEROPORT CDG 2 TGV ROISSY;15.0;60.0;81.0;
AEROPORT CDG 2 TGV ROISSY-ST BRIEUC;20.0;84.0;122.0;
AGEN-MARNE LA VALLEE CHESSY;25.0;108.0;140.0;
AGEN-AEROPORT CDG 2 TGV ROISSY;25.0;108.0;140.0;
BIARRITZ-PARIS AUSTERLITZ;25.0;112.0;147.0;
PARIS AUSTERLITZ-BAYONNE;25.0;112.0;147.0;
MASSY TGV-VALENCE TGV;25.0;107.0;147.0;
AEROPORT CDG 2 TGV ROISSY-AGDE;25.0;116.0;162.0;
PARIS NORD-ANTIBES;25.0;132.0;185.0;
ST AVRE LA CHAMBRE-MARNE LA VALLEE CHESSY;25.0;109.0;144.0;
MODANE-PARIS GARE DE LYON;25.0;113.0;154.0;
AEROPORT CDG 2 TGV ROISSY-BELLEGARDE;25.0;91.0;129.0;
AEROPORT CDG 2 TGV ROISSY-SALLANCHES COMBLOUX MEGEVE;25.0;119.0;163.0;
AEROPORT CDG 2 TGV ROISSY-BELFORT-MONTBELIARD TGV;20.0;97.0;126.0;
MASSY TGV-MEUSE;15.0;44.0;68.0;
LYON ST EXUPERY-ST PIERRE DES CORPS;25.0;95.0;132.0;
AVIGNON-MARSEILLE ST CHARLES;;30.0;44.0;
AVIGNON-ST RAPHAEL VALESCURE;;53.0;77.0;
VENDOME VILLIERS SUR LOIR-MARSEILLE ST CHARLES;25.0;125.0;167.0;
MULHOUSE VILLE-AIME LA PLAGNE;25.0;102.0;127.0;
METZ VILLE-AVIGNON;;114.0;149.0;
MODANE-ST JEAN DE MAURIENNE ARVAN;;8.5;12.6;
DOUAI-VALENCIENNES;;10.0;14.6;
MODANE-ST AVRE LA CHAMBRE;;10.5;14.8;
STRASBOURG-SAVERNE;;10.9;17.0;
ST PERAY-LE TEIL;;11.3;17.0;
CAEN-LISIEUX;;11.9;17.5;
LE MANS-SABLE;;12.1;18.0;
GROISY THORENS LA CAILLE-AIX LES BAINS LE REVARD;;13.2;19.0;
HAZEBROUCK-LILLE EUROPE;;13.2;26.0;
ANNEMASSE-SALLANCHES COMBLOUX MEGEVE;;13.7;20.0;
BESANCON VIOTTE-LONS LE SAUNIER;;17.5;25.5;
MORCENX-BAYONNE;;19.0;27.0;
ARLES-MARSEILLE ST CHARLES;;19.0;27.0;
LYON ST EXUPERY-MACON LOCHE TGV;;19.0;27.0;
LE HAVRE-ROUEN RIVE DROITE;;19.5;27.5;
ST MAIXENT DEUX SEVRES-LA ROCHELLE VILLE;;20.0;28.5;
GUINGAMP-LANDERNEAU;;21.0;30.0;
LAMBALLE-MORLAIX;;22.5;34.0;
ARLES-LE TEIL;;24.0;35.0;
ARLES-MONTELIMAR;;24.0;35.0;
JUVISY TGV-LES AUBRAIS ORLEANS;;24.0;37.0;
LOURDES-MORCENX;;25.0;37.0;
RENNES-VANNES;;25.5;38.0;
LYON ST EXUPERY-AIX LES BAINS LE REVARD;;25.5;42.0;
NANTES-VANNES;;27.0;40.0;
DIJON VILLE-PONTARLIER;;26.5;40.0;
CHATEAUROUX-LES AUBRAIS ORLEANS;;27.0;41.0;
MASSY PALAISEAU-ROUEN RIVE DROITE;;27.5;41.0;
CULMONT CHALINDREY-CHALON SUR SAONE;;31.0;46.0;
MACON LOCHE TGV-ANNECY;;34.0;48.0;
PORNICHET-SABLE;;38.0;54.0;
TOULON-ORANGE;;38.0;54.0;
ETAPLES LE TOUQUET-LILLE EUROPE;;38.0;54.0;
METZ VILLE-CULMONT CHALINDREY;15.0;38.0;58.0;
BRIVE LA GAILLARDE-CHATEAUROUX;15.0;40.0;60.0;
LE MANS-LA ROCHE SUR YON;;41.0;60.0;
VALOGNES-BERNAY;;41.0;64.0;
LE MANS-PORNICHET;;44.0;64.0;
MORLAIX-NANTES;;52.0;78.0;
BORDEAUX ST JEAN-NARBONNE;20.0;61.0;90.0;
BORDEAUX ST JEAN-MONTPELLIER;25.0;72.0;106.0;
AVIGNON TGV-MONTELIMAR;;17.5;24.0;
GRENOBLE-AIX LES BAINS LE REVARD;;17.5;25.0;
MONTPELLIER-LE CREUSOT MONTCEAU MONTCHANIN;25.0;70.0;104.0;
AIX EN PROVENCE TGV-VERSAILLES CHANTIERS;25.0;116.0;162.0;
AVIGNON TGV-AEROPORT CDG 2 TGV ROISSY;25.0;116.0;162.0;
DIJON VILLE-AEROPORT CDG 2 TGV ROISSY;15.0;67.0;90.0;
LE HAVRE-CHAMPAGNE ARDENNE;15.0;53.0;70.0;
DIJON VILLE-MULHOUSE VILLE;15.0;57.0;75.0;
DIJON VILLE-STRASBOURG;20.0;57.0;75.0;
METZ VILLE-MARSEILLE ST CHARLES;20.0;124.0;161.0;
TOUL-VALENCE TGV;20.0;83.0;110.0;
Toul-toulouse matabiau;25.0;117.0;154.0;
Modane-LE CREUSOT MONTCEAU MONTCHANIN;20.0;65.0;93.0;
CHAMBERY CHALLES LES EAUX-LE CREUSOT MONTCEAU MONTCHANIN;15.0;55.0;72.0;
AGEN-SETE;;53.0;79.0;
paris austerlitz-Dol de Bretagne;20.0;85.0;123.0;
paris austerlitz-libourne;20.0;96.0;126.0;
ANGOULEME-DOUAI;25.0;119.0;155.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE EUROPE-LIBOURNE;25.0;130.0;171.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BORDEAUX ST JEAN-PARIS MONTPARNASSE 1 ET 2;20.0;96.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
NIORT-PARIS MONTPARNASSE 1 ET 2;20.0;84.0;118.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-REDON;20.0;84.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-FACTURE BIGANOS;25.0;102.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BIARRITZ-MASSY TGV;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGERS ST LAUD-LYON PART DIEU;25.0;96.0;135.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-ST BRIEUC;;33.0;47.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-GUINGAMP;;37.0;52.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-ST PIERRE DES CORPS;;38.0;53.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-LAMBALLE;;41.0;60.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BORDEAUX ST JEAN-POITIERS;;42.0;62.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
POITIERS-ARCACHON;;49.0;73.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-QUIMPER;;62.0;88.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
CHATELLERAULT-MONTAUBAN VILLE BOURBON;;66.0;95.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
FACTURE BIGANOS-FUTUROSCOPE;;47.0;68.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LA TESTE-FUTUROSCOPE;;49.0;73.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
STRASBOURG-BORDEAUX ST JEAN;30.0;165.0;215.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LORIENT-PARIS MONTPARNASSE 1 ET 2;20.0;91.0;127.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY-AURAY;20.0;91.0;127.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
QUIMPERLE-AEROPORT CDG 2 TGV ROISSY;20.0;95.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE EUROPE - RENNES;25.0;113.0;144.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
BORDEAUX ST JEAN - LILLE EUROPE;25.0;134.0;177.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
BORDEAUX ST JEAN - MASSY TGV;25.0;111.0;166.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE POULIGUEN - PARIS MONTPARNASSE 1 ET 2;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE POULIGUEN - MARNE LA VALLEE CHESSY;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - FACTURE BIGANOS;25.0;118.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MEUSE-LORRAINE TGV;;23.5;33.0;
MEUSE-THIONVILLE;;33.0;46.0;
MANTES LA J. TGV-AEROPORT CDG 2 TGV ROISSY;;35.0;47.0;
MARSEILLE ST CHARLES-SETE;;37.0;50.0;
CHAMPAGNE ARDENNE-LORRAINE TGV;;42.0;57.0;
