OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
PLOUARET TREGOR-ST BRIEUC;;13.5;20.5;
CASTELNAUDARY-TOULOUSE MATABIAU;;13.7;20.5;
DAX-BIARRITZ;;14.2;20.5;
ARLES-ORANGE;;14.3;21.0;
GROISY THORENS LA CAILLE-SALLANCHES COMBLOUX MEGEVE;;15.5;22.0;
NARBONNE-SETE;;16.5;24.0;
MANTES LA J. TGV-ROUEN RIVE DROITE;;18.5;26.5;
PAU-MORCENX;;19.0;27.0;
DAX-PAU;;19.0;27.0;
MARSEILLE ST CHARLES-HYERES;;19.0;27.0;
TOURCOING-ARRAS;;19.0;35.0;
BREST-PLOUARET TREGOR;;20.0;28.5;
VALENCE-ORANGE;;20.5;30.0;
LES SABLES D'OLONNE-NANTES;;22.0;34.0;
BESANCON VIOTTE-BELFORT;;23.0;35.0;
ANCENIS-LA ROCHE SUR YON;;23.0;35.0;
DIJON VILLE-FRASNE;;24.5;36.0;
ST PERAY-VILLENEUVE LES AVIGNONS;;25.0;38.0;
NIMES-MONTELIMAR;;26.0;38.0;
SAUMUR-VENDOME VILLIERS SUR LOIR;;27.0;40.0;
NANTES-AURAY;;30.0;43.0;
AIX EN PROVENCE TGV-LES ARCS DRAGUIGNAN;;30.0;44.0;
CASTELNAUDARY-MONTPELLIER;;34.0;50.0;
VERSAILLES CHANTIERS-YVETOT;;35.0;50.0;
LIMOGES BENEDICTINS-VIERZON VILLE;15.0;36.0;53.0;
ANGERS ST LAUD-VANNES;;39.0;55.0;
HENDAYE-LIBOURNE;;45.0;65.0;
ANGERS ST LAUD-LORIENT;;45.0;66.0;
LE MANS-LE CROISIC;;45.0;66.0;
LYON PART DIEU-BOURG ST MAURICE;;46.0;67.0;
QUIMPER-VITRE;;46.0;68.0;
HENDAYE-POITIERS;;69.0;101.0;
ST PIERRE DES CORPS-TOULOUSE MATABIAU;25.0;80.0;116.0;
VENDOME-MASSY TGV;;39.0;76.0;
VENDOME-LIBOURNE;;66.0;98.0;
CULOZ-TOULON;;98.0;143.0;
MARNE LA VALLEE CHESSY-MONTPELLIER;25.0;114.0;160.0;
MASSY TGV-MARSEILLE ST CHARLES;25.0;116.0;162.0;
VERSAILLES CHANTIERS-MARSEILLE ST CHARLES;25.0;116.0;162.0;
AVIGNON-MARNE LA VALLEE CHESSY;25.0;116.0;162.0;
LYON PART DIEU-PARIS GARE DE LYON;25.0;97.0;133.0;
BESANCON VIOTTE-MANTES LA JOLIE;20.0;83.0;111.0;
MULHOUSE VILLE-PARIS GARE DE LYON;20.0;114.0;155.0;
ROUEN RIVE DROITE-YVETOT;;10.5;14.8;
LE HAVRE-MEUSE;15.0;60.0;77.0;
CHAMPAGNE ARDENNE-ROUEN RIVE DROITE;15.0;53.0;70.0;
MULHOUSE VILLE-AVIGNON TGV;20.0;114.0;149.0;
METZ VILLE-MONTPELLIER;20.0;124.0;161.0;
STRASBOURG-LYON ST EXUPERY;20.0;87.0;111.0;
Toul-carcassonne;25.0;110.0;142.0;
NEUFCHATEAU-Agde;25.0;99.0;129.0;
NEUFCHATEAU-carcassonne;25.0;106.0;137.0;
ST AVRE - LA CHAMBRE-VERSAILLES CHANTIERS;25.0;109.0;144.0;
ST JEAN DE MAURIENNE ARVAN-VERSAILLES CHANTIERS;25.0;111.0;149.0;
SETE-MASSY TGV;25.0;116.0;162.0;
paris austerlitz-brest;20.0;92.0;131.0;
paris austerlitz-rosporden;20.0;95.0;134.0;
POITIERS-TGV HAUTE PICARDIE;25.0;102.0;129.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE EUROPE-LORIENT;25.0;114.0;150.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-NIMES;25.0;125.0;167.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
QUIMPERLE-LILLE EUROPE;25.0;125.0;161.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
POITIERS-PARIS MONTPARNASSE 1 ET 2;20.0;75.0;107.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-MASSY TGV;20.0;87.0;121.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-NANTES;20.0;85.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY-RENNES;20.0;80.0;113.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2-TARBES;25.0;118.0;156.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LYON PERRACHE-RENNES;25.0;108.0;143.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-FACTURE BIGANOS;;33.0;47.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BORDEAUX ST JEAN-FUTUROSCOPE;;43.0;63.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY-ST MALO;20.0;85.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BREST-MASSY TGV;20.0;92.0;131.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
CHAMPAGNE ARDENNE - FUTUROSCOPE;25.0;97.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
QUIMPERLE - TGV HAUTE PICARDIE;25.0;106.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE EUROPE - AURAY;25.0;122.0;161.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARSEILLE ST CHARLES - ST PIERRE DES CORPS;25.0;125.0;168.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - AIX EN PROVENCE TGV;25.0;125.0;168.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PARIS MONTPARNASSE 1 ET 2 - BAYONNE;25.0;123.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARNE LA VALLEE CHESSY - ST NAZAIRE;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
SURGERES - PARIS MONTPARNASSE 1 ET 2;25.0;94.0;130.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - VANNES;20.0;97.0;136.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG 2 TGV ROISSY-MASSY PALAISEAU;;35.0;47.0;
MACON LOCHE TGV-VALENCE;15.0;41.0;51.0;
VALENCE-CHALON SUR SAONE;15.0;48.0;63.0;
TOULON-VALENCE;;57.0;82.0;
MARNE LA VALLEE CHESSY-ST PIERRE DES CORPS;15.0;65.0;89.0;
AIX EN PROVENCE TGV-LYON ST EXUPERY;20.0;67.0;89.0;
LYON PERRACHE-AGDE;20.0;70.0;95.0;
LYON PART DIEU-SENS;20.0;78.0;107.0;
AIX EN PROVENCE TGV-BELLEGARDE;20.0;77.0;111.0;
ANGOULEME-PARIS AUSTERLITZ;20.0;87.0;121.0;
